case,peace_budget,ag_budget,budget_ratio,climate,peace_strategy,ag_strategy,target_ag,feasible,strategy_type,violence_factor,grievance_factor,scarcity_factor,objective,ag_initial,ag_final,ag_reduction,ag_reduction_pct,gov_activity,econ_activity,trust_activity,ddr_activity,ag_recruitment,ag_violence
Severe,100,50,2.0,0.2,Security Only,Aggressive,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Recruitment Focus,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Recruitment Focus,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Recruitment Focus,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Territorial,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Territorial,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Territorial,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Defensive,0.1,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Defensive,0.2,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Security Only,Defensive,0.3,False,mono,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Balanced Multi-Pronged,Aggressive,0.1,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Balanced Multi-Pronged,Aggressive,0.2,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Balanced Multi-Pronged,Aggressive,0.3,False,multi,0.8,0.54,1.0,,,,,,,,,,,
Severe,100,50,2.0,0.2,Balanced Multi-Pronged,Recruitment Focus,0.1,False,multi,0.8,0.54,1.0,,,,,,,,,,,
